,comment,download,follow,name,num_score,score,tags,volume
3195,80.0,6935.0,304.0,华为主题(EMUI8.0及以下)-原OS,19.0,4.1,['emui主题'],30.61
3196,79.0,6945.0,489.0,E-Ink Launcher,39.0,3.7,"['桌面', '启动器']",0.480634765625
3197,26.0,6948.0,111.0,必过宝,199.0,1.9,"['建筑师', '考试', '题库']",15.05
3198,19.0,6948.0,469.0,推理学院,14.0,4.2,"['推理', '知识', '刑侦', '侦探', '社区']",4.44
3199,6.0,6913.0,81.0,美拼,4.0,3.9,"['图片', '排版', '图文编辑']",8.43
3200,14.0,6874.0,51.0,第一财经周刊,11.0,3.9,"['杂志', '经济', '商业']",28.93
3201,73.0,6879.0,485.0,考研单词,42.0,4.7,[],3.71
3202,19.0,6892.0,48.0,美识+,8.0,3.5,"['导购', '电商']",5.95
3203,76.0,6846.0,582.0,YoMail邮件客户端,9.0,4.2,['邮箱'],28.12
3204,38.0,6856.0,92.0,万年历,22.0,3.2,"['日历', '万年历', '黄历']",13.4
3205,50.0,6864.0,268.0,music - Xperia 主题,18.0,4.5,"['xperia主题', 'sony', '索尼']",7.81
3206,21.0,6868.0,149.0,魔幻手指-动态壁纸锁屏DIY,11.0,4.2,"['动态桌面', '自定义', '特效']",18.68
3207,100.0,6868.0,239.0,[Evolution Performance+] Rosso - Xperia™主题,44.0,4.7,"['索尼', 'Xperia']",2.58
3208,16.0,6828.0,122.0,小花看看,7.0,3.9,"['VR', '虚拟现实', '播放器', '本地']",43.75
3209,14.0,6830.0,70.0,隐私月月记,23.0,3.8,"['经期日历', '母婴', '经期', '孕期', '女性']",12.97
3210,92.0,6765.0,419.0,表情助手,44.0,4.3,['表情包'],8.39
3211,74.0,6778.0,426.0,一键锁屏 - Looock Mini,22.0,4.3,"['桌面插件', '锁屏', '工具', '酷友作品']",0.00625
3212,22.0,6779.0,169.0,Psnine,12.0,4.5,"['PlayStation', 'PS4', 'PS3', 'PSV', 'PSNINE', 'P9']",10.46
3213,4.0,6780.0,98.0,创业邦,3.0,4.2,"['新闻资讯', '资讯', '头条', '日报']",33.97
3214,27.0,6784.0,231.0,进制转换计算器,18.0,4.4,"['二进制', '八进制', '十六进制', '进制转换', '计算机', '编程', '实用工具']",1.18
3215,6.0,6785.0,69.0,讯飞电视助手手机版,3.0,4.1,"['电视盒子', '智能电视', '遥控']",5.58
