,_id,comment,download,follow,name,num_score,score,tags,volume
102,5c26c6efb031602c92eaa01c,2564,142万,2825,铁路12306,2361,2.5,"['火车', '车票', '铁路', '铁道']",27.37M
103,5c26c6f0b031602c92eaa01d,1129,143万,1127,美团外卖-美食水果优惠订餐,1054,1.9,"['外卖', '快餐', '美食']",38.56M
104,5c26c6f1b031602c92eaa01e,603,144万,1176,汽车之家,328,2.5,"['汽车', 'autohome', '资讯']",43.62M
105,5c26c6f3b031602c92eaa01f,950,146万,1257,字体管家（一键更换字体）,541,2.7,"['字体', '辅助加强']",11.67M
106,5c26c6f4b031602c92eaa020,1308,148万,2783,豆瓣,1193,3.5,['豆瓣'],33.83M
107,5c26c6f5b031602c92eaa021,3221,149万,4446,索尼音乐,944,4.5,"['播放器', '音乐电台', 'mp3', 'sony', '索尼']",14.90M
108,5c26c6f6b031602c92eaa022,3490,150万,2230,摩拜单车,1192,4.1,"['mobike', '公共自行车', '共享单车', '单车', '城市自行车']",33.77M
109,5c26c6f7b031602c92eaa023,432,151万,1125,携程旅行迪士尼酒店机票火车票旅游门票攻略团购,550,3.4,"['出行', '机票', '旅游', '酒店']",74.46M
110,5c26c6fab031602c92eaa024,539,128万,1235,米家,576,2.9,['智能家居'],55.21M
111,5c26c6fbb031602c92eaa025,1049,129万,1181,猎豹清理大师,737,2.5,"['清理优化', '垃圾清理', '清理', '任务管理', '猎豹', '存储清理', '卸载管理', '系统工具', '优化', '性能优化', '隐私保护', '小编推荐']",26.38M
112,5c26c6fdb031602c92eaa026,2755,129万,2123,小米运动,872,3.1,"['小米', '健康', 'miui', '小米手环', '健身']",63.38M
113,5c26c6feb031602c92eaa027,625,130万,1099,安卓壁纸-含动态壁纸,795,3.1,"['壁纸', '背景']",12.82M
114,5c26c6ffb031602c92eaa028,3894,133万,5227,微博国际版,2322,4.3,['微博'],22.09M
115,5c26c700b031602c92eaa029,3099,136万,3977,AcFun,1229,3.5,"['A站', '视频', '弹幕', '小编推荐', '二次元']",34.39M
116,5c26c701b031602c92eaa02a,3845,137万,5415,追书神器,3651,4.3,['小说'],30.64M
117,5c26c702b031602c92eaa02b,4624,137万,1.6万,Sorcery 图标,1922,4.7,"['图标', 'icon-pack', '酷友作品']",22.19M
118,5c26c704b031602c92eaa02c,476,138万,561,搜狐视频-电影电视剧美剧影音视频播放器,271,2.4,"['网络视频', '视频', '网络电视', '搜狐']",41.54M
119,5c26c706b031602c92eaa02d,1054,127万,1373,酷我音乐播放器,577,3.1,"['音乐电台', '在线音乐', '音乐榜单', 'KTV点歌', '歌曲识别', 'MV', '演唱会信息', '歌单', '听歌', 'k歌', '音乐下载', '铃声剪辑', '音乐播放器']",60.88M
120,5c26c707b031602c92eaa02e,393,121万,152,360安全桌面（手机版）,508,2.3,"['launcher', '360', 'qihoo', '奇虎']",12.88M
121,5c26c709b031602c92eaa02f,3873,121万,9413,多多猫app,1296,4.5,"['漫画', '轻小说', '动画', '二次元', '周边', '资讯', '酷友作品', '动漫']",17.86M
122,5c26c70ab031602c92eaa030,499,121万,1844,亚马逊,232,3.8,"['购物', '亚马逊', '卓越', '电商']",32.14M
123,5c26c70bb031602c92eaa031,1063,121万,818,虎牙直播,765,3.0,['直播'],47.14M
124,5c26c70cb031602c92eaa032,3348,122万,1.1万,MT管理器2.0,1171,4.4,"['文件管理', 'APK编辑', 'APK修改', 'APKTOOL']",5.10M
125,5c26c70eb031602c92eaa033,3210,123万,1499,小米商城,781,2.9,"['电商', '购物']",44.12M
